,FoodName,GI,Serve,CarbPerServe,GL,URL
102,"Glucose, 50 g portion, consumed with 14.5 g guar gum",62,10,10,6,foodSearch.php?num=103&ak=detail
103,"Glucose, 75 g portion, consumed with 4.24 g salt",86,10,10,9,foodSearch.php?num=104&ak=detail
104,"Glucose, 100 g portion, consumed with 20 g acacia gum",85,10,10,9,foodSearch.php?num=105&ak=detail
105,"Honey, Pure",58,25,21,12,foodSearch.php?num=106&ak=detail
106,"Honey, Yellow box (46% fructose)",35,25,18,6,foodSearch.php?num=107&ak=detail
107,"Honey, Stringy Bark (52% fructose) ",44,25,21,9,foodSearch.php?num=108&ak=detail
108,"Honey, Red Gum (35% fructose) ",46,25,18,8,foodSearch.php?num=109&ak=detail
109,"Honey, Iron Bark (34% fructose)",48,25,15,7,foodSearch.php?num=110&ak=detail
110,"Capilano Premium Honey, blend of eucalypt & floral honeys",51,25,21,11,foodSearch.php?num=111&ak=detail
111,"Honey, Yapunya (42 % fructose)",52,25,17,9,foodSearch.php?num=112&ak=detail
112,Leabrook Farms Yellow Box honey,60,25,21,13,foodSearch.php?num=113&ak=detail
113,"Honey, Commercial Blend (38% fructose), WA blend",62,25,18,11,foodSearch.php?num=114&ak=detail
114,"Honey, Salvation Jane (32% fructose) ",64,25,15,10,foodSearch.php?num=115&ak=detail
115,"Clover honey, ratio of fructose: glucose, 1.09",69,25,21,15,foodSearch.php?num=116&ak=detail
116,"Honey, Commercial Blend (28% fructose), NSW blend",72,25,13,9,foodSearch.php?num=117&ak=detail
117,"Buckwheat honey, ratio of fructose:glucose, 1.12",73,25,21,16,foodSearch.php?num=118&ak=detail
118,"Cotton honey, ratio of fructose:glucose, 1.03",74,25,22,16,foodSearch.php?num=119&ak=detail
119,"Honey, type not specified",74,25,21,16,foodSearch.php?num=120&ak=detail
120,"Tupelo honey, ratio of fructose:glucose, 1.54",74,25,21,16,foodSearch.php?num=121&ak=detail
121,"Honey, type not specified",87,25,21,18,foodSearch.php?num=122&ak=detail
122,"Mango (Mangifera indica), raw",51,120,15,8,foodSearch.php?num=123&ak=detail
123,"Mango (Mangifera indica), raw ",41,120,20,8,foodSearch.php?num=124&ak=detail
124,"Mango, ripe (Mangifera indica), raw ",60,120,15,9,foodSearch.php?num=125&ak=detail
125,"Milk, full-fat/whole ",34,250,12,4,foodSearch.php?num=126&ak=detail
126,"Milk, full-fat/whole",31,250,12,4,foodSearch.php?num=127&ak=detail
127,"Milk, full-fat/whole, 3% fat",21,250,12,3,foodSearch.php?num=128&ak=detail
128,"Milk, full-fat/whole, pasteurised, fresh, organic",34,250,12,4,foodSearch.php?num=129&ak=detail
129,"Milk, full-fat/whole",41,250,12,5,foodSearch.php?num=130&ak=detail
130,"Milk, full-fat/whole, standardised homogenised, pasteurised, British",46,250,12,5,foodSearch.php?num=131&ak=detail
131,"Milk, full-fat/whole",11,250,12,1,foodSearch.php?num=132&ak=detail
132,"Milk, reduced fat (1.4%), Lite White™",30,250,13,4,foodSearch.php?num=133&ak=detail
133,"Milk, semi-skimmed, British",25,250,13,3,foodSearch.php?num=134&ak=detail
134,"Milk, semi-skimmed, pasteurised, organic",34,250,13,4,foodSearch.php?num=135&ak=detail
135,"Milk, reduced fat with added omega 3, Take Care™",23,250,15,3,foodSearch.php?num=136&ak=detail
136,"Milk, reduced fat (98% fat free) with added omega 3, Farmers Best™",27,250,16,4,foodSearch.php?num=137&ak=detail
137,"Milk, skim ",32,250,13,4,foodSearch.php?num=138&ak=detail
138,"Milk, skim",32,250,13,4,foodSearch.php?num=139&ak=detail
139,"Milk, skim ",32,250,11,4,foodSearch.php?num=140&ak=detail
140,"Milk, skim",37,250,13,5,foodSearch.php?num=141&ak=detail
141,"Milk, skimmed, pasteurised, British",48,250,13,6,foodSearch.php?num=142&ak=detail
142,"Milk, skim, made from powder",27,250,11,3,foodSearch.php?num=143&ak=detail
143,"Shape™ milk, fat free",34,250,17,6,foodSearch.php?num=144&ak=detail
144,"Pura™ HiLo milk, skim/low-fat",20,250,14,3,foodSearch.php?num=145&ak=detail
145,"Pura™ Skimmer milk, skim/low-fat",20,250,14,3,foodSearch.php?num=146&ak=detail
146,Pura™ Light Start milk,30,250,15,4,foodSearch.php?num=147&ak=detail
147,"Pura™ Tone milk, skim/low-fat",30,250,16,5,foodSearch.php?num=148&ak=detail
148,"Milk, condensed, sweetened",61,100,54,33,foodSearch.php?num=149&ak=detail
149,"Fermented cow's milk (ropy milk, långfil, 3% fat)",11,0,0,0,foodSearch.php?num=150&ak=detail
150,"Fermented cow's milk (filmjölk, 3% fat)",11,0,0,0,foodSearch.php?num=151&ak=detail
151,"Milk, full-fat/whole consumed with 20 g wheat bran ",28,250,12,3,foodSearch.php?num=152&ak=detail
152,"Milk, full-fat/whole, banana, honey and malt flavored",31,250,27,8,foodSearch.php?num=153&ak=detail
153,"Milk, full-fat, Masters® mocha flavored",32,250,27,9,foodSearch.php?num=154&ak=detail
154,"Milk, reduced/low fat, Big M™, chocolate or strawberry flavored",37,250,24,9,foodSearch.php?num=155&ak=detail
155,"Milk, reduced fat, Masters®, chocolate or strawberry flavored",35,250,25,9,foodSearch.php?num=156&ak=detail
156,"Milk, low-fat, Masters® Light, 99% fat free chocolate or mocha flavored",27,250,22,6,foodSearch.php?num=157&ak=detail
157,"Milk, low-fat, chocolate flavored, with aspartame, Lite White™",24,250,15,3,foodSearch.php?num=158&ak=detail
158,"Milk, low-fat, chocolate flavored, with sugar, Lite White™",34,250,26,9,foodSearch.php?num=159&ak=detail
159,Rush® Heavenly Vanilla Malt flavored milk,31,250,15,7,foodSearch.php?num=160&ak=detail
160,Rush® Intense Coffee flavored milk,24,250,14,5,foodSearch.php?num=161&ak=detail
161,Rush® Ultimate Chocolate flavored milk,26,250,14,5,foodSearch.php?num=162&ak=detail
162,Rush® Wicked Latte flavored milk,26,250,14,5,foodSearch.php?num=163&ak=detail
163,"Oranges, raw",40,120,11,4,foodSearch.php?num=164&ak=detail
164,"Oranges, raw",33,120,10,3,foodSearch.php?num=165&ak=detail
165,"Oranges, raw ",31,120,11,3,foodSearch.php?num=166&ak=detail
166,"Orange, raw ",47,120,12,6,foodSearch.php?num=167&ak=detail
167,"Oranges, raw",48,120,11,5,foodSearch.php?num=168&ak=detail
168,"Oranges (Sunkist, Van Nuys, CA, USA), raw",48,120,11,5,foodSearch.php?num=169&ak=detail
169,"Oranges, raw ",51,120,11,6,foodSearch.php?num=170&ak=detail
170,Orange juice,46,250,26,12,foodSearch.php?num=171&ak=detail
171,"Orange juice, unsweetened, reconstituted concentrate, Quelch brand",53,250,18,10,foodSearch.php?num=172&ak=detail
172,"Orange juice, unsweetened, reconstituted concentrate, Mr Juicy brand",54,250,21,11,foodSearch.php?num=173&ak=detail
173,President's Choice® Blue Menu™ Oh-Mega Orange juice beverage,48,250,30,14,foodSearch.php?num=174&ak=detail
174,"Orange & Grapefruit segments, canned in juice",53,120,19,10,foodSearch.php?num=175&ak=detail
175,"Marmalade, orange 100% Pure Fruit spread, no added sugar",27,30,16,4,foodSearch.php?num=176&ak=detail
176,"Marmalade, orange ",48,30,20,9,foodSearch.php?num=177&ak=detail
177,Capellini pasta,45,180,45,20,foodSearch.php?num=178&ak=detail
178,"Fusilli pasta twists, boiled 10 min in salted water",61,180,48,29,foodSearch.php?num=179&ak=detail
179,"Fusilli pasta twists, dry pasta, boiled in 10 min in unsalted water",54,180,48,26,foodSearch.php?num=180&ak=detail
180,"Fusilli pasta twists, tricolour, dry pasta, boiled 10 min in unsalted water ",51,180,45,23,foodSearch.php?num=181&ak=detail
181,"Fusilli pasta twists, wholewheat, dry pasta, boiled 10 min in unsalted water",55,180,41,23,foodSearch.php?num=182&ak=detail
182,"Lasagne sheets, dry pasta, boiled in unsalted water for 10 min",55,180,47,26,foodSearch.php?num=183&ak=detail
183,"Lasagne, egg, dry pasta, boiled in unsalted water for 10 min ",53,180,43,23,foodSearch.php?num=184&ak=detail
184,"Lasagne, egg, verdi, dry pasta, boiled in unsalted water for 10 min",52,180,45,23,foodSearch.php?num=185&ak=detail
185,"Wholemeal pasta, dark durum wheat, boiled 10 min in salted water",58,180,50,29,foodSearch.php?num=186&ak=detail
186,"Spirali pasta, durum wheat, white, boiled to al denté texture, Vetta™",43,180,44,19,foodSearch.php?num=187&ak=detail
187,"Tagliatelle, egg pasta, boiled in water for 7 min ",46,180,44,20,foodSearch.php?num=188&ak=detail
188,"Vermicelli pasta, white, boiled, Vetta™",35,180,44,16,foodSearch.php?num=189&ak=detail
189,"Fusilli pasta twists, boiled 10 min in salted water, served with canned tuna ",28,0,0,0,foodSearch.php?num=190&ak=detail
190,"Fusilli pasta twists, boiled 10 min in salted water, served with cheddar cheese",27,0,0,0,foodSearch.php?num=191&ak=detail
191,"Fusilli pasta twists, boiled 10 min in salted water, served with chilli con carne ",40,0,0,0,foodSearch.php?num=192&ak=detail
192,"Corn pasta, gluten-free, Orgran brand",68,180,46,31,foodSearch.php?num=193&ak=detail
193,"Corn pasta, gluten-free, Orgran brand",78,180,42,32,foodSearch.php?num=194&ak=detail
194,"Proti pasta, protein-enriched, boiled in water",28,180,49,14,foodSearch.php?num=196&ak=detail
195,"Split pea and soya pasta shells, gluten-free, Orgran brand",29,180,31,9,foodSearch.php?num=197&ak=detail
196,"Pasta bake, tomato and mozzarella ",23,300,43,10,foodSearch.php?num=198&ak=detail
197,"Peach, raw ",28,120,13,4,foodSearch.php?num=199&ak=detail
198,"Peach, raw ",56,120,8,5,foodSearch.php?num=200&ak=detail
199,"Peach, dried ",35,60,22,8,foodSearch.php?num=201&ak=detail
200,"Peach, canned in natural juice",45,120,11,5,foodSearch.php?num=202&ak=detail
201,"Peach, canned in natural juice",46,120,14,6,foodSearch.php?num=203&ak=detail
202,"Peach, canned in natural juice, Goulburn Valley brand",30,120,11,3,foodSearch.php?num=204&ak=detail
203,"Peach, canned in light syrup",52,120,18,9,foodSearch.php?num=205&ak=detail
204,"Peach, canned in heavy syrup",58,120,15,9,foodSearch.php?num=206&ak=detail
205,"Peach, canned in heavy syrup",64,120,19,12,foodSearch.php?num=207&ak=detail
206,"Peach, canned in reduced-sugar syrup, SPC Lite",62,120,17,11,foodSearch.php?num=208&ak=detail
207,"Peach & Grapes, canned in natural fruit juice",46,120,12,6,foodSearch.php?num=209&ak=detail
208,"Peach & Pineapple, canned in natural fruit juice",45,120,13,6,foodSearch.php?num=210&ak=detail
209,"Pear, raw  ",33,120,13,4,foodSearch.php?num=211&ak=detail
210,"Pear, raw",42,120,11,5,foodSearch.php?num=212&ak=detail
211,"Pear, Winter Nellis, raw ",34,120,12,4,foodSearch.php?num=213&ak=detail
212,"Pear, Bartlett, raw ",41,120,8,3,foodSearch.php?num=214&ak=detail
213,"Pear, canned in pear juice, Bartlett",44,120,11,5,foodSearch.php?num=215&ak=detail
214,"Pear halves, canned in reduced-sugar syrup, SPC Lite",25,120,14,4,foodSearch.php?num=216&ak=detail
215,"Pear halves, canned in natural juice",43,120,13,5,foodSearch.php?num=217&ak=detail
216,"Pear, dried ",43,60,27,12,foodSearch.php?num=218&ak=detail
217,"Pineapple, raw",66,120,10,6,foodSearch.php?num=219&ak=detail
218,"Pineapple (Ananas comosus), raw ",51,120,16,8,foodSearch.php?num=220&ak=detail
219,"Pineapple pieces, canned in fruit juice",43,120,19,8,foodSearch.php?num=221&ak=detail
220,"Pineapple pieces, canned in natural fruit juice",55,120,17,10,foodSearch.php?num=222&ak=detail
221,"Pineapple & Papaya pieces, canned in natural juice",53,120,17,9,foodSearch.php?num=223&ak=detail
222,"Potato, white with skin, baked, consumed with 10 g margarine",69,150,27,19,foodSearch.php?num=224&ak=detail
223,"Potato, white without skin, baked, consumed with 10 g margarine",98,150,27,26,foodSearch.php?num=225&ak=detail
224,"Irish potato (Solanum tuberosum), peeled, baked 45 min ",83,150,30,25,foodSearch.php?num=226&ak=detail
225,"Nicola potato, unpeeled, boiled whole for 15 min",58,150,16,9,foodSearch.php?num=227&ak=detail
226,"Pontiac potato, peeled and baked ",93,150,18,17,foodSearch.php?num=228&ak=detail
227,"Maris Piper potato, peeled, quartered, boiled 15 min in unsalted water ",85,150,29,25,foodSearch.php?num=229&ak=detail
228,"Mashed potato, type not specified",83,150,20,17,foodSearch.php?num=230&ak=detail
229,"Sebago potato, peeled, boiled 35 min ",87,150,17,14,foodSearch.php?num=231&ak=detail
230,"Red potatoes, boiled with skin on in salted water for 12 min",89,150,21,19,foodSearch.php?num=232&ak=detail
231,"Russet Burbank potatoes, baked without fat ",111,150,30,33,foodSearch.php?num=233&ak=detail
232,Instant Mashed potato,88,150,20,18,foodSearch.php?num=234&ak=detail
233,"Spaghetti, white, boiled",42,180,48,20,foodSearch.php?num=2416&ak=detail
234,"Spaghetti, white, boiled",45,180,48,22,foodSearch.php?num=2419&ak=detail
235,"Marfona potato, peeled, quartered, boiled 15 min in unsalted water ",56,150,32,18,foodSearch.php?num=235&ak=detail
236,"Potato, white, boiled, consumed with 10 g margarine ",96,150,26,24,foodSearch.php?num=236&ak=detail
237,"Asterix potato, peeled, boiled 30 min ",78,150,26,20,foodSearch.php?num=237&ak=detail
238,"Asterix potato, peeled, boiled 30 min, served with 15.4 g sunflower oil (Ica Handlarna, Solna, Sweden)",92,150,26,24,foodSearch.php?num=238&ak=detail
239,"Charlotte potato, peeled, quartered, boiled 15 min ",66,150,23,15,foodSearch.php?num=239&ak=detail
240,"Charlotte potato, boiled, consumed with 10 g margarine",81,150,23,19,foodSearch.php?num=240&ak=detail
241,"Desiree potato, peeled, boiled 35 min ",101,150,17,17,foodSearch.php?num=241&ak=detail
242,"Estima potato, peeled, quartered, boiled 15 min ",66,150,26,17,foodSearch.php?num=242&ak=detail
243,"Irish potato (Solanum tuberosum), peeled, cubed, boiled 30 min ",59,150,32,19,foodSearch.php?num=243&ak=detail
244,"King Edward potato, peeled, quartered,  boiled 15 min in unsalted water ",75,150,28,21,foodSearch.php?num=244&ak=detail
245,"Nicola potato, peeled, quartered, boiled 15 min ",59,150,16,9,foodSearch.php?num=245&ak=detail
246,"Pontiac potato, peeled, boiled whole for 30 min ",56,150,26,14,foodSearch.php?num=246&ak=detail
247,"Pontiac potato, peeled, boiled 35 min ",88,150,18,16,foodSearch.php?num=247&ak=detail
248,"Sava potato, peeled, boiled 21-30 min",118,150,20,24,foodSearch.php?num=248&ak=detail
249,"Potato, type not specified, boiled ",66,150,19,13,foodSearch.php?num=249&ak=detail
250,"Potato, type not specified, boiled in salted water ",76,150,34,26,foodSearch.php?num=250&ak=detail
251,"Butternut pumpkin, boiled ",51,80,6,3,foodSearch.php?num=251&ak=detail
252,"Pumpkin (Cucurbita moschata), peeled, cubed, boiled 30 min ",66,80,18,12,foodSearch.php?num=252&ak=detail
253,"Pumpkin, boiled in salted water ",75,80,4,3,foodSearch.php?num=253&ak=detail
254,"Pumpkin Soup, creamy, Heinz® Very Special™, with pumpkin, cream, potatoes",76,250,18,14,foodSearch.php?num=254&ak=detail
255,"Long Grain rice, white, Golden Crown brand",76,150,40,30,foodSearch.php?num=270&ak=detail
256,"Medium Grain rice, white, Double Ram brand",89,150,40,36,foodSearch.php?num=272&ak=detail
257,"Medium Grain rice, white, Double Ram brand",75,150,40,30,foodSearch.php?num=274&ak=detail
258,"Medium Grain rice, white, SunRice brand (Product of Australia)",89,150,40,36,foodSearch.php?num=271&ak=detail
259,"Medium Grain rice, white, SunRice brand (Product of Australia)",75,150,40,30,foodSearch.php?num=273&ak=detail
260,"Premium Long Grain rice, white, SunRice brand (Product of Australia)",76,150,40,30,foodSearch.php?num=269&ak=detail
261,"Soy milk, full-fat (3%), Original, 0 mg calcium, with maltodextrin",44,250,17,8,foodSearch.php?num=388&ak=detail
262,"Soy milk, full-fat (3%), Calciforte, 120 mg calcium, with maltodextrin",36,250,18,6,foodSearch.php?num=389&ak=detail
263,"Soy milk, full-fat (3%), 120 mg calcium, Calciforte",41,250,15,6,foodSearch.php?num=390&ak=detail
264,"Soy milk, Vitasoy® Organic",43,250,16,7,foodSearch.php?num=391&ak=detail
265,"Soy milk, Vitasoy® So Milky Regular",21,250,8,2,foodSearch.php?num=392&ak=detail
266,"Soy milk, low-fat (0.7%), Vitasoy® Light Original",45,250,10,4,foodSearch.php?num=393&ak=detail
267,"Soy milk, reduced-fat (1.5%), Vitasoy® So Milky Lite",17,250,7,1,foodSearch.php?num=394&ak=detail
268,"Soy milk, reduced-fat (1.5%), 120 mg calcium, Light, containing maltodextrin",44,250,17,8,foodSearch.php?num=395&ak=detail
269,"Soy milk, reduced-fat (1.8%), 120 mg calcium, Vitasoy® Premium Vitality+",18,250,12,2,foodSearch.php?num=396&ak=detail
270,"Soy milk beverage, Chocolate flavored, President's Choice® Blue Menu™",40,250,28,11,foodSearch.php?num=397&ak=detail
271,"Soy milk beverage, Original flavored, President's Choice® Blue Menu™",15,250,9,1,foodSearch.php?num=398&ak=detail
272,"Soy milk beverage, Vanilla flavored, President's Choice® Blue Menu™",28,250,16,4,foodSearch.php?num=399&ak=detail
273,"Soy milk, reduced-fat (1.5%), Vitasoy® Lush, Chocolate",31,250,19,6,foodSearch.php?num=400&ak=detail
274,"Soy milk, reduced-fat (1.5%), Vitasoy® Lush, Vanilla",31,250,17,5,foodSearch.php?num=401&ak=detail
275,"Soy smoothie drink, banana, 1% fat",30,250,22,7,foodSearch.php?num=402&ak=detail
276,"Soy smoothie drink, chocolate hazelnut, 1% fat",34,250,25,8,foodSearch.php?num=403&ak=detail
277,"Xpress™, chocolate soy milk beverage (soy bean, cereal, legume extract drink with fructose)",39,250,34,13,foodSearch.php?num=404&ak=detail
278,"Soy yoghurt, peach and mango, 2% fat, sugar",50,200,26,13,foodSearch.php?num=405&ak=detail
279,"Sugar (Sucrose), 50 g portion",58,10,10,6,foodSearch.php?num=406&ak=detail
280,"Sugar (Sucrose), 50 g portion ",60,10,10,6,foodSearch.php?num=407&ak=detail
281,"Sugar (Sucrose), 25 g portion",60,10,10,6,foodSearch.php?num=408&ak=detail
282,"Sugar (Sucrose), 50 g portion ",65,10,10,7,foodSearch.php?num=409&ak=detail
283,"Sugar (Sucrose), 100 g portion",65,10,10,7,foodSearch.php?num=410&ak=detail
284,"Sugar (Sucrose), 50 g portion ",84,10,10,8,foodSearch.php?num=411&ak=detail
285,"White bread, wheat flour, Sunblest™",70,30,14,10,foodSearch.php?num=412&ak=detail
286,"White bread, wheat flour",70,30,14,10,foodSearch.php?num=413&ak=detail
287,"White bread, wheat flour ",71,30,14,10,foodSearch.php?num=414&ak=detail
288,"White bread, wheat flour",71,30,16,11,foodSearch.php?num=415&ak=detail
