,Food Name,Food Manufacturer,GI,Standard Serve Size,Carbohydrate per Serve,Glycemic Load,Country,Product Category,Year of Test,SEM,Time Period of Test,Number of Subjects in Test,Type of Subjects in Test,Source
10,"Apple juice, pure, clear, unsweetened","The Wild About Fruit Company, Wandin, VIC, Australia",44,250,30,13,Australia,Fruit Juices,1995,2,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
11,"Apple juice, pure, cloudy, unsweetened","The Wild About Fruit Company, Australia",37,250,28,11,Australia,Fruit Juices,1995,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
12,"Apricot, raw ",,34,120,9,3,Australia,Fruit and Fruit products,1995,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
13,"Apricot, raw",,57,120,9,5,Italy,Fruit and Fruit products,1995,,3h,7,Type 2,"Lunetta M, Di Mauro M, Crimi S, Mughini L. No important differences in glycaemic responses to common fruits in type 2 diabetic patients. Diab Medicine 1995; 12(8): 674-8."
14,"Apricots, dried ",,30,60,27,8,Australia,Fruit and Fruit products,1995,7,2h,8,Normal,"Brand-Miller J, Pang E, Broomhead L. The glycaemic index of foods containing sugars: comparison of foods with naturally-occurring v. added sugars. Br J Nutr 1995; 73: 613-23."
15,"Apricots, dried, ready to eat",,31,60,22,7,UK,Fruit and Fruit products,2005,6,2h,8,Normal," Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
16,"Apricots, dried, ready to eat, bite size",,32,60,22,7,UK,Fruit and Fruit products,2005,7,2h,10,Normal," Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
17,"Apricots, dried","Wasco foods, Montreal, Canada",32,60,30,10,Canada,Fruit and Fruit products,1993,,3h,9,Type 2,"Wolever TMS, Vuksan V, Katzman Relle L, Jenkins AL, Josse RG, Wong GS, Jenkins DJA. Glycemic index of fruits and fruit products in patients with diabetes.  Int J Food Sci Nutr 1993; 43: 205-12."
18,Apricot halves canned in fruit juice,"Langeberg and Ashton Foods Pty Ltd, South Africa",51,120,12,6,South Africa,Fruit and Fruit products,2007,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
19,"Apricots, canned in light syrup","Riviera, Aliments Caneast Foods, Montreal, Canada",64,120,19,12,Canada,Fruit and Fruit products,1993,,3h,9,Type 2,"Wolever TMS, Vuksan V, Katzman Relle L, Jenkins AL, Josse RG, Wong GS, Jenkins DJA. Glycemic index of fruits and fruit products in patients with diabetes.  Int J Food Sci Nutr 1993; 43: 205-12."
20,Apricot dried fruit snack,,42,15,12,5,Australia,Fruit and Fruit products,1995,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
21,"Apricot & apple fruit strips, gluten-free","Freedom Foods, Australia",29,20,16,5,Australia,Fruit and Fruit products,2007,6,2h,10,Normal,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006 – 2007."
22,"Apricot 100% Pure Fruit spread, no added sugar","Freedom Foods, Australia",43,30,16,7,Australia,Fruit and Fruit products,2007,6,2h,10,Normal,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006 – 2007."
23,"Apricot 100% Fruit Spread, Cottees™ brand","Cadbury Schweppes, Australia",50,30,19,9,Australia,Fruit and Fruit products,2004,6,2h,9,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
24,"Apricot fruit spread, reduced sugar","Glen Ewin Jams, Para Hills, Australia",55,30,13,7,Australia,Fruit and Fruit products,1995,7,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
25,President's Choice® Blue Menu™ Twice the Fruit Apricot spread,"Loblaw Brands Limited, Canada",56,30,12,7,Canada,Fruit and Fruit products,2007,8,2h,10,Normal,"Glycemic Index Laboratories, Inc. (Toronto, Canada), unpublished observations, 2004-2007."
26,"Apricot, coconut and honey muffin",,60,50,26,16,Australia,Bakery Products,1995,4,2h,9,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
27,"Banana, raw",,47,120,24,11,Australia,Fruit and Fruit products,1995,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
28,"Banana, raw",,62,120,25,16,Canada,Fruit and Fruit products,1981,9,2h,6,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
29,"Banana, raw",,46,120,25,12,Canada,Fruit and Fruit products,1988,,,NS,Diabetic,"Otto H, Niklas. Differences d'action sur la glycemie d'aliments contenant des hydrated de carbone: consequences pour le traitment dietetique du diabete sucre. (Differences in the action of foods containing carbohydrate on blood glucose levels: implications for the dietetic treatment of diabetes mellitus.) Cited by: Jenkins DJA, Wolever TMS, Jenkins AL. Starchy foods and glycemic index.  Diab Care 1988; 11: 149-59."
30,"Banana, raw",,49,120,25,12,Israel,Fruit and Fruit products,1988,6,2h,9,Gestational DM,"Lock DR, Bar-Eyal A, Voet H, Madar Z.  Glycemic indices of various foods given to pregnant diabetic subjects.  Obstet Gynecol 1988; 71: 180-2."
31,"Banana, raw",,58,120,23,13,Italy,Fruit and Fruit products,1995,,3h,8,Type 2,"Lunetta M, Di Mauro M, Crimi S, Mughini L. No important differences in glycaemic responses to common fruits in type 2 diabetic patients. Diab Medicine 1995; 12(8): 674-8."
32,"Banana, raw",,58,120,25,15,Canada,Fruit and Fruit products,1983,,3h,6,Type 2," Jenkins DJA, Wolever TMS, Jenkins AL, Thorne MJ, Lee R, Kalmusky J, Reichert R, Wong GS. The glycaemic index of foods tested in diabetic patients: a new basis for carbohydrate exchange favouring the use of legumes. Diabetologia 1983; 24: 257-64."
33,"Banana, ripe (all yellow)",,51,120,25,13,USA,Fruit and Fruit products,1993,,5h,7,Type 2,"Ercan N, Nuttal FQ, Gannon MC, Lane JT, Burmeister LA, Westphal SA. Plasma glucose and insulin responses to bananas of varying ripeness in persons with noninsulin-dependent diabetes mellitus. J Am Coll Nutr 1993; 12: 703-9."
34,"Banana, under-ripe ",,30,120,21,6,Denmark,Fruit and Fruit products,1992,,4h,10,Type 2,"Hermansen K, Rasmussen O, Gregersen S, Larsen S. Influence of ripeness of banana on the blood glucose and insulin response in type 2 diabetic subjects. Diab Medicine 1992; 9: 739-43."
35,"Banana, slightly under-ripe (yellow with green sections)",,42,120,25,11,USA,Fruit and Fruit products,1993,,5h,7,Type 2,"Ercan N, Nuttal FQ, Gannon MC, Lane JT, Burmeister LA, Westphal SA. Plasma glucose and insulin responses to bananas of varying ripeness in persons with noninsulin-dependent diabetes mellitus. J Am Coll Nutr 1993; 12: 703-9."
36,"Banana, over-ripe (yellow flecked with brown) ",,48,120,25,12,USA,Fruit and Fruit products,1993,,5h,7,Type 2,"Ercan N, Nuttal FQ, Gannon MC, Lane JT, Burmeister LA, Westphal SA. Plasma glucose and insulin responses to bananas of varying ripeness in persons with noninsulin-dependent diabetes mellitus. J Am Coll Nutr 1993; 12: 703-9."
37,"Banana, over-ripe ",,52,120,20,11,Denmark,Fruit and Fruit products,1992,,4h,10,Type 2,"Hermansen K, Rasmussen O, Gregersen S, Larsen S. Influence of ripeness of banana on the blood glucose and insulin response in type 2 diabetic subjects. Diab Medicine 1992; 9: 739-43."
38,"Banana, raw",,70,120,23,16,South Africa,Fruit and Fruit products,1984,5,2h,8,Normal,"Walker ARP, Walker BF. Glycaemic index of South African foods determined in rural blacks - a population at low risk of diabetes.  Hum Nutr Clin Nutr 1984; 38C: 215-22."
39,"Banana, processed fruit fingers, Heinz Kidz™","H J Heinz, Malvern, Australia",61,30,20,12,Australia,Fruit and Fruit products,1995,11,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
40,"Banana cake, made with sugar",,47,60,29,14,Australia,Bakery Products,1995,8,2h,8,Normal,"Brand-Miller J, Pang E, Broomhead L. The glycaemic index of foods containing sugars: comparison of foods with naturally-occurring v. added sugars. Br J Nutr 1995; 73: 613-23."
41,"Banana cake, made without sugar",,55,60,22,12,Australia,Bakery Products,1995,10,2h,7,Normal,"Brand-Miller J, Pang E, Broomhead L. The glycaemic index of foods containing sugars: comparison of foods with naturally-occurring v. added sugars. Br J Nutr 1995; 73: 613-23."
42,"Banana, oat and honey muffin ",,65,50,26,17,Australia,Bakery Products,1995,11,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
43,"Barley, pearled, boiled 60 min ",,35,150,42,15,UK,Cereal Grains,2005,4,2h,8,Normal," Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
44,"Barley, pearled ",,22,150,41,9,Canada,Cereal Grains,1987,,3h,12,Type 2,"Wolever TMS, Jenkins DJA, Josse RG, Wong GS, Lee R. The glycemic index: similarity of values derived in insulin-dependent and non-insulin dependent diabetic patients. J Am Coll Nutr 1987; 6: 295-305."
45,Barley,,22,150,42,9,Canada,Cereal Grains,1985,,3h,13,Type 2,"Jenkins DJA, Wolever TMS, Kalmusky J, Giudici S, Giordano C, Wong GS, Bird JN, Pattern R, Hall M, Buckley G, Little JA.  Low glycemic index carbohydrate foods in the management of hyperlipidemia.  Am J Clin Nutr 1985; 42(4): 604-17."
46,Barley ,,27,150,42,11,Canada,Cereal Grains,1988,,3h,4,Type 2,"Jenkins DJA, Wesson V, Wolever TMS, Jenkins AL, Kalmusky J, Guidici S, Csima A, Josse RG, Wong GS. Wholemeal versus wholegrain breads: proportion of whole or cracked grains and the glycaemic response. Br Med J (Clin Res Ed) 1988; 297: 958-60."
47,"Barley, pearled  ",,29,150,42,12,Canada,Cereal Grains,1987,,3h,7,Type 1,"Wolever TMS, Jenkins DJA, Josse RG, Wong GS, Lee R. The glycemic index: similarity of values derived in insulin-dependent and non-insulin dependent diabetic patients. J Am Coll Nutr 1987; 6: 295-305."
48,Barley (Hordeum vulgare),,37,150,42,16,India,Cereal Grains,1991,,3h,14,Type 2,"Shukla K, Narain JP, Puri P, Gupta A, Bijlani RL, Mahapatra SC, Karmarkar MG. Glycaemic response to maize, bajra and barley. Indian J Physiol Pharmacol 1991: 35: 249-54."
49,"Barley, cracked (Malthouth, Tunisia)",,50,150,42,21,Tunisia,Cereal Grains,1994,,3h,10,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
50,"Barley, rolled",,66,50,38,25,Australia,Cereal Grains,1992,5,2h,8,Normal,"Brand-Miller J, Pang E, Bramall L. Rice: a high or low glycemic index food ? Am J Clin Nutr 1992; 56: 1034-6."
51,"Barley kernels, high-amylose (hull-less) boiled in water for 25 min (kernel:water = 1:2.5)",,20,150,42,8,Sweden,Cereal Grains,1994,,2h,10,Normal,"Granfeldt Y, Liljeberg H, Drews A, Newman R, Björk I. Glucose and insulin responses to barley products: influence of food structure and amylose-amylopectin ratio. Am J Clin Nutr 1994; 59(5): 1075-82."
52,"Barley kernels, waxy (hull-less), boiled in water for 25 min (kernel:water = 1:2.5)",,22,150,42,9,Sweden,Cereal Grains,1994,,2h,10,Normal,"Granfeldt Y, Liljeberg H, Drews A, Newman R, Björk I. Glucose and insulin responses to barley products: influence of food structure and amylose-amylopectin ratio. Am J Clin Nutr 1994; 59(5): 1075-82."
53,"Barley kernels, boiled in water for 25 min (kernel:water = 1:2)",,25,150,42,10,Sweden,Cereal Grains,1994,,2h,10,Normal,"Granfeldt Y, Liljeberg H, Drews A, Newman R, Björk I. Glucose and insulin responses to barley products: influence of food structure and amylose-amylopectin ratio. Am J Clin Nutr 1994; 59(5): 1075-82."
54,"Barley kernels, high-amylose (covered), boiled in water for 25 min (kernel:water = 1:2)",,26,150,42,11,Sweden,Cereal Grains,1994,,2h,10,Normal,"Granfeldt Y, Liljeberg H, Drews A, Newman R, Björk I. Glucose and insulin responses to barley products: influence of food structure and amylose-amylopectin ratio. Am J Clin Nutr 1994; 59(5): 1075-82."
55,"Barley, pot, boiled in salted water 20 min","Goudas Food Products, Concord, Canada",25,150,42,11,Canada,Cereal Grains,1995,2,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
56,"Barley, pot, boiled","Goudas Food Products, Canada",35,150,42,15,Canada,Cereal Grains,2003,4,2h,47,Normal,"Wolever TMS, Vorster HH, Björk I, Brand-Miller J, Brighenti F, Mann JI, Ramdath DD, Granfeldt Y, Holt S, Perry TL, Venter C, Wu X.  Determination of the glycaemic index of foods: Interlaboratory study.  Euro J Clin Nutr 2003; 57: 475-82."
57,"Barley, pot, boiled 20 min","Goudas Food Products, Canada",37,150,42,16,Canada,Cereal Grains,2006,,2h,10,Normal,"Granfeldt Y, Wu X, Björk I. Determination of glycaemic index; some methodological aspects related to the analysis of carbohydrate load and characteristics of the previous evening meal. Euro J Clin Nutr 2006; 60: 104-12."
58,Barley (Hordeum vulgare) ,,48,150,42,20,India,Cereal Grains,1991,,3h,18,Normal,"Shukla K, Narain JP, Puri P, Gupta A, Bijlani RL, Mahapatra SC, Karmarkar MG. Glycaemic response to maize, bajra and barley. Indian J Physiol Pharmacol 1991: 35: 249-54."
59,"Carrots, peeled, boiled ",,33,80,5,2,Australia,Vegetables,1995,5,2h,8,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
60,"Carrots, peeled, diced, boiled",,49,80,5,2,Australia,Vegetables,1982,2,2h,7,Normal,"Fitz-Henry A. In vitro and in vivo rates of carbohydrates digestion in Aboriginal bushfoods and contemporary Western Foods.  BSc thesis (Honours).  Human Nutrition Unit, University of Sydney, Australia, 1982."
61,"Carrots, raw, diced ",,35,80,6,2,Australia,Vegetables,1982,5,2h,7,Normal,"Fitz-Henry A. In vitro and in vivo rates of carbohydrates digestion in Aboriginal bushfoods and contemporary Western Foods.  BSc thesis (Honours).  Human Nutrition Unit, University of Sydney, Australia, 1982."
62,"Carrots, raw, ground ",,39,80,6,2,Australia,Vegetables,1982,1,2h,7,Normal,"Fitz-Henry A. In vitro and in vivo rates of carbohydrates digestion in Aboriginal bushfoods and contemporary Western Foods.  BSc thesis (Honours).  Human Nutrition Unit, University of Sydney, Australia, 1982."
63,"Carrot juice, freshly made",,43,250,23,10,Australia,Beverages,1995,3,2h,9,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
64,"Carrot cake, prepared with coconut flour ",,36,60,23,8,Philippines,Bakery Products,2003,,2h,10,Normal,"Trinidad TP, Valdez DH, Loyola AS, Mallillin AC, Askali FC, Castillo JC, Masa DB.  Glycaemic index of different coconut (Cocos nucifera)-flour products in normal and diabetic subjects. Br J Nutr 2003; 90: 551-6."
65,"Carrot soup, President's Choice® Blue Menu™ Soupreme","Loblaw Brands Limited, Canada",35,250,13,5,Canada,Soup,2007,4,2h,10,Normal,"Glycemic Index Laboratories, Inc. (Toronto, Canada), unpublished observations, 2004-2007."
66,"Chocolate, dark, Dove®","M&M;/Mars, USA",23,50,26,6,USA,Snack Foods and Confectionery,1995,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
67,"Chocolate, plain","Cadbury's Confectionery, Ringwood, Australia",49,50,30,14,Australia,Snack Foods and Confectionery,1995,6,2h,8,Normal,"Brand-Miller J, Pang E, Broomhead L. The glycaemic index of foods containing sugars: comparison of foods with naturally-occurring v. added sugars. Br J Nutr 1995; 73: 613-23."
68,"Chocolate, plain with sucrose ",,34,50,22,7,Belgium,Snack Foods and Confectionery,1994,5,3h,8,Normal,"Pelletier X, Hanesse B, Bornet F, Debry G.  Glycaemic and insulinaemic responses in healthy volunteers upon ingestion of maltitol and hydrogenated glucose syrups. Diabete & Metabolisme (Paris) 1994; 20: 291-6."
69,"Chocolate, plain Dove®","Mars Confectionery, Ballarat, Australia",45,50,30,13,Australia,Snack Foods and Confectionery,1997,8,2h,10-12,Normal,"Brand Miller JC, Wang B, McNeil Y, Swan V. The glycaemic index of more breads, breakfast cereals and snack products.  Proc Nutr Soc Aust 1997; 21: 144 (abstr)."
70,"Chocolate, plain","Nestlé, Sydney, NSW, Australia",42,50,31,13,Australia,Snack Foods and Confectionery,1995,8,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
71,"Chocolate candy, sugar free, artificially sweetened, Dove®","M&M;/Mars, USA",23,50,15,3,USA,Snack Foods and Confectionery,2005,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
72,"Chocolate, dark with raisins, peanuts and jam",,44,50,27,12,Czech Republic,Snack Foods and Confectionery,2006,5,2h,20,Normal,"Chlup R, Jelenova D, Kudlova P, Chlupova K, Bartek J, Zapletalova J, Langova K, Chlupova L. Continuous glucose monitoring - A novel approach to the determination of the glycaemic index of foods (DEGIF 1). Exp Clin Endocrinol Diabetes 2006; 114: 68-74."
73,"Cocoavia™ Chocolate Covered Almonds, artificially sweetened","M&M;/Mars, USA",21,30,10,2,USA,Snack Foods and Confectionery,2005,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
74,Chocolate cake made from packet mix with chocolate frosting,"Betty Crocker, General Mills Inc., Minneapolis, USA",38,111,52,20,USA,Bakery Products,1995,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
75,"Chocolate crinkles, containing coconut flour ",,43,50,23,10,Philippines,Snack Foods and Confectionery,2003,,2h,10,Normal,"Trinidad TP, Valdez DH, Loyola AS, Mallillin AC, Askali FC, Castillo JC, Masa DB.  Glycaemic index of different coconut (Cocos nucifera)-flour products in normal and diabetic subjects. Br J Nutr 2003; 90: 551-6."
76,"Sweet corn, 'Honey & Pearl' variety ",,37,80,16,6,New Zealand,Vegetables,2000,12,2h,9,Normal,"Perry T, Mann J, Mehalski K, Gayya C, Wilson J, Thompson C. Glycaemic index of New Zealand foods. NZ Med J 2000; 113:140-42."
77,"Sweet corn on the cob, boiled 20 min",,48,80,16,8,Australia,Vegetables,1985,,2h,6,Normal,"Brand JC, Nicholson PL, Thorburn AW, Truswell AS. Food processing and the glycemic index.  Am J Clin Nutr 1985; 42: 1192-6."
78,Sweet corn ,,55,80,16,9,China,Vegetables,2006,2,2h,10,Normal,"Yang YX, Wang HW, Cui HM, Wang Y, Y LD, Xiang SX, Zhou SY. Glycemic index of cereals and tubers produced in China. World J Gastroenterol 2006; 12(21): 3430-3."
79,"Sweet corn, boiled ",,60,80,18,11,USA,Vegetables,1977,,3h,16,Normal,"Crapo PA, Reaven G, Olefsky J. Postprandial plasma-glucose and -insulin responses to different complex carbohydrates.  Diabetes 1977; 26(12): 1178-83."
80,Sweet corn ,,62,80,18,11,South Africa,Vegetables,1984,5,2h,7,Normal,"Walker ARP, Walker BF. Glycaemic index of South African foods determined in rural blacks - a population at low risk of diabetes.  Hum Nutr Clin Nutr 1984; 38C: 215-22."
81,"Sweet corn, cooked",,52,150,33,17,Israel,Vegetables,1988,7,2h,8,Gestational DM,"Lock DR, Bar-Eyal A, Voet H, Madar Z.  Glycemic indices of various foods given to pregnant diabetic subjects.  Obstet Gynecol 1988; 71: 180-2."
82,Sweet corn ,,59,150,33,19,Canada,Vegetables,1981,11,2h,5,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
83,Sweet corn ,,60,150,33,20,USA,Vegetable,1980,,3h,,"Type 2, 5; IGT, 6","Crapo PA, Kolterman OG, Waldeck N, Reaven GM, Olefsky JM. Postprandial hormonal responses to different types of complex carbohydrate in individuals with impaired glucose tolerance. Am J Clin Nutr 1980; 33: 1723-8."
84,"Sweet corn, whole kernel, canned, diet-pack, drained","Featherweight, USA",46,150,28,13,USA,Vegetable,1981,,3h,20,Type 2,"Crapo PA, Insel J, Sperling M, Kolterman OG.  Comparison of serum glucose, insulin, and glucagon responses to different types of complex carbohydrate in noninsulin-dependent diabetic patients.  Am J Clin Nutr 1981; 34: 184-90."
85,"Sweet corn, frozen, reheated in microwave","Green Giant Pillsbury Ltd., Toronto, Canada",47,150,33,16,Canada,Vegetable,1994,,3h,9,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
86,Corn granules ,,52,150,28,15,China,Vegetable,2006,3,2h,10,Normal,"Yang YX, Wang HW, Cui HM, Wang Y, Y LD, Xiang SX, Zhou SY. Glycemic index of cereals and tubers produced in China. World J Gastroenterol 2006; 12(21): 3430-3."
87,"Maize/corn (Zea Mays), flour made into chapatti ",,59,30,13,8,India,Traditional Foods,1991,,3h,18,Normal,"Shukla K, Narain JP, Puri P, Gupta A, Bijlani RL, Mahapatra SC, Karmarkar MG. Glycaemic response to maize, bajra and barley. Indian J Physiol Pharmacol 1991: 35: 249-54."
88,Cornmeal porridge ,,68,150,13,9,China,Cereal Grains,2006,3,2h,10,Normal,"Yang YX, Wang HW, Cui HM, Wang Y, Y LD, Xiang SX, Zhou SY. Glycemic index of cereals and tubers produced in China. World J Gastroenterol 2006; 12(21): 3430-3."
89,"Cornmeal, boiled in salted water 2 min","McNair Products Co. Ltd., Toronto, Canada",68,150,13,9,Canada,Cereal Grains,1994,,3h,12,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
90,Cornmeal + margarine,"McNair Products Co. Ltd., Toronto, Canada",69,150,12,8,Canada,Cereal Grains,1994,,3h,12,Type 1 & 2,"Wolever TMS, Katzman-Relle L, Jenkins AL, Vuksan V, Josse RG, Jenkins DJA. Glycaemic index of 102 complex carbohydrate foods in patients with diabetes.  Nutr Res 1994; 14(5): 651-69."
91,"Fructose, 25 g portion, Sweeten Less","Sweeten Less, Maximum Nutrition Inc.,Toronto, Canada",11,10,10,1,Canada,"Sugars, Sweeteners and Syrups",1998,,2h,8,Normal,"Lee BM, Wolever TMS. Effect of glucose, sucrose and fructose on plasma glucose and insulin responses in normal humans: comparison with white bread.  Euro J Clin Nutr 1998; 52: 924-8."
92,"Fructose, 50 g portion, Sweeten Less","Sweeten Less, Maximum Nutrition Inc.,Toronto, Canada",12,10,10,1,Canada,"Sugars, Sweeteners and Syrups",1998,,2h,8,Normal,"Lee BM, Wolever TMS. Effect of glucose, sucrose and fructose on plasma glucose and insulin responses in normal humans: comparison with white bread.  Euro J Clin Nutr 1998; 52: 924-8."
93,"Fructose, 50 g portion ",,23,10,10,2,China,"Sugars, Sweeteners and Syrups",2006,1,2h,10,Normal,"Yang YX, Wang HW, Cui HM, Wang Y, Y LD, Xiang SX, Zhou SY. Glycemic index of cereals and tubers produced in China. World J Gastroenterol 2006; 12(21): 3430-3."
94,"Glucose, 50 g portion (dextrose)",,96,10,10,10,,"Sugars, Sweeteners and Syrups",1977,,3h,16,Normal,"Crapo PA, Reaven G, Olefsky J. Postprandial plasma-glucose and -insulin responses to different complex carbohydrates.  Diabetes 1977; 26(12): 1178-83."
